record_id,Age,Gender,Weight_kg,Height_m,BMI,BMI_Index,Body_Fat_Pct,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hrs,Calories_Burned,Workout_Type,Water_Intake_L,Workout_Frequency_wk,Experience_Level,Fitness_Goal,Activity_Level,Daily_Calories_Intake,Sleep_Hours,Stress_Level,is_duplicate_flag,source
6134,58,FEMALE,31.4,1.708,10.76,0,11.2,174,171,93,1.15,,strength,0.52,5,3,weight loss,lightly active,1740,8.0,6,0,Kaggle_GymMembers
6135,80,Male,76.3,1.615,29.25,3,31.4,158,124,58,2.48,291,yoga,2.9,1,,weight loss,Sedentary,997,7.0,6,0,Kaggle_FitnessMetrics
6136,16,male,78.8,1.771,25.12,3,11.6,198,130,42,1.38,736,N/A,1.16,3,1,,Sedentary,2589,8.5,7,0,Kaggle_GymMembers
6137,25,MALE,62.9,1.713,21.44,2,36.4,,163,79,1.82,868,hiit,1.64,5,3,Weight Loss,Moderate,2896,8.6,5,0,Kaggle_FitnessMetrics
6138,26,M,77.6,1.767,24.85,2,20.2,152,148,50,2.0,791,strength,0.59,6,1,bulking,Very Active,1908,10.3,10,0,Kaggle_GymMembers
6139,32,M,89.4,1.757,28.96,3,39.1,190,171,91,2.9,731,Strength,3.96,6,3,bulking,lightly active,1251,,9,0,Kaggle_FitnessMetrics
6140,45,FEMALE,106.70360799999999,1.577,42.91,5,16.9,152,101,45,1.69,1105,,3.82,5,3,Muscle Gain,Active,4184,7.8,10,0,Kaggle_FitnessMetrics
6141,36,Male,53.0,1.702,18.3,1,8.6,189,103,77,1.6,847,Cardio,1.23,7,3,Muscle Gain,lightly active,2430,6.0,7,0,Kaggle_BMIDataset
6142,20,Male,51.1,1.676,18.19,1,37.5,151,111,82,0.81,259,N/A,3.99,5,2,Lose Weight,Active,3580,6.7,2,0,Kaggle_GymMembers
6143,52,female,67.8,1.555,28.04,3,43.7,163,135,58,0.93,1002,Yoga,2.84,2,1,Maintenance,Very Active,1262,,7,0,Kaggle_GymMembers
6144,54,Female,77.1,1.662,27.91,3,14.0,174,158,47,0.8,1482,Strength,1.13,,2,Weight Loss,lightly active,,9.7,4,0,Kaggle_BMIDataset
6145,66,Female,65.4,1.602,25.48,3,49.7,163,105,73,1.4,1449,Yoga,1.37,3,3,Lose Weight,lightly active,2737,8.3,3,0,Kaggle_FitnessMetrics
6146,53,M,59.6,1.726,20.01,2,54.3,172,135,95,2.66,1378,Strength,3.21,1,,Lose Weight,lightly active,2640,4.9,,0,Kaggle_GymMembers
6147,71,Male,74.0,1.716,25.13,3,11.9,177,172,91,1.45,1196,Strength,0.69,,2,Maintenance,,3913,6.7,9,1,Kaggle_FitnessMetrics
6148,57,F,57.3,1.692,20.01,2,19.1,151,116,94,1.88,416,strength,0.54,1,,Muscle Gain,Light,2545,8.6,6,0,Kaggle_BMIDataset
6149,63,male,87.5,1.576,35.23,4,21.4,172,164,94,0.28,563,cardio,1.06,7,3,,Very Active,3235,6.9,9,0,Kaggle_FitnessMetrics
6150,39,male,74.9,1.676,26.66,3,,141,113,82,1.63,719,Cardio,3.84,6,3,Weight Loss,Active,3984,7.3,9,0,Kaggle_BMIDataset
6151,80,MALE,73.0,1.607,28.27,3,41.2,200,167,47,0.27,127,yoga,3.71,5,,bulking,Very Active,4385,4.6,8,0,Kaggle_GymMembers
6152,15,female,80.1,1.684,28.25,3,29.4,147,111,63,3.0,868,hiit,3.66,,3,bulking,Light,1107,,3,0,Kaggle_BMIDataset
6153,59,MALE,98.3,1.745,32.28,4,22.8,183,152,59,2.25,,strength,1.95,7,3,bulking,,1491,6.7,3,0,Kaggle_FitnessMetrics
6154,79,male,87.7,1.819,26.51,3,49.5,147,162,94,2.44,1125,Yoga,2.33,2,,Maintenance,Moderate,914,5.5,9,0,Kaggle_GymMembers
6155,21,F,38.5,1.617,14.72,0,29.1,153,154,49,1.72,1353,Strength,0.75,3,3,maintenance,Very Active,1407,6.6,3,0,Kaggle_GymMembers
6156,80,MALE,51.7,1.584,20.61,2,48.4,154,168,45,1.62,384,cardio,3.49,3,2,Weight Loss,Active,1816,7.1,6,0,Kaggle_FitnessMetrics
6157,73,female,69.1,1.734,22.98,2,28.1,153,170,88,2.73,1437,yoga,1.74,1,2,Maintenance,lightly active,4486,6.3,1,0,Kaggle_FitnessMetrics
6158,80,F,91.5,1.542,38.48,4,52.9,158,156,72,0.75,1391,Cardio,3.47,5,2,maintenance,,3916,10.4,3,0,Kaggle_GymMembers
6159,48,F,46.5,1.618,17.76,1,45.6,158,126,54,1.97,643,HIIT,3.79,2,,Build Muscle,Active,4264,5.3,10,0,Kaggle_BMIDataset
6160,15,MALE,89.4,1.714,30.43,4,33.7,149,171,65,2.97,459,Cardio,0.55,4,3,Build Muscle,sedentary,4150,6.9,1,0,Kaggle_FitnessMetrics
6161,72,Male,61.6,1.828,18.43,1,52.7,179,139,88,2.81,1304,Strength,3.05,1,,Muscle Gain,Active,4054,9.2,8,0,Kaggle_BMIDataset
6162,57,female,91.1,1.664,32.9,4,48.1,184,125,89,0.92,1312,Strength,3.81,6,2,maintenance,,2450,5.0,3,0,Kaggle_FitnessMetrics
6163,58,female,62.3,1.605,24.18,2,16.0,154,128,79,2.18,778,yoga,1.02,,,Muscle Gain,Sedentary,1842,6.2,1,0,Kaggle_BMIDataset
6164,48,M,94.3,1.763,30.34,4,31.5,164,105,48,0.65,458,cardio,2.16,1,1,Build Muscle,lightly active,2246,7.2,2,0,Kaggle_FitnessMetrics
6165,55,M,99.4,1.619,37.92,4,37.9,188,151,53,0.86,105,hiit,3.83,7,3,bulking,Active,1286,5.7,5,0,Kaggle_FitnessMetrics
6166,80,M,91.9,1.768,29.4,3,35.6,181,109,51,1.58,1443,yoga,2.04,5,1,,Active,3198,5.6,9,0,Kaggle_FitnessMetrics
6167,15,FEMALE,41.6,1.64,15.47,0,25.9,161,137,94,1.77,1479,yoga,1.55,2,,Muscle Gain,Sedentary,,7.5,4,0,Kaggle_FitnessMetrics
6168,78,Male,66.2,1.774,21.04,2,38.3,158,138,47,2.98,986,Yoga,2.1,1,,Build Muscle,Moderate,3354,5.4,9,0,Kaggle_FitnessMetrics
6169,68,Male,64.7,1.674,23.09,2,52.5,142,103,96,1.56,1205,strength,3.87,5,2,weight loss,Moderate,864,5.3,1,0,Kaggle_GymMembers
6170,46,FEMALE,102.73529199999999,1.724,34.57,4,35.6,158,154,95,2.37,1120,N/A,1.88,6,1,bulking,Moderate,1669,4.2,4,0,Kaggle_GymMembers
6171,43,F,68.8,1.627,25.99,3,25.0,168,140,65,1.0,1333,,2.52,7,,muscle gain,lightly active,,6.2,2,0,Kaggle_FitnessMetrics
6172,46,F,57.2,1.686,20.12,2,30.4,199,116,54,1.37,1159,Strength,1.55,5,1,cutting,Very Active,4233,5.3,1,0,Kaggle_BMIDataset
6173,21,female,91.1,1.495,40.76,5,17.0,179,161,70,0.76,1223,Strength,2.24,,1,Stay Fit,Very Active,1331,6.2,7,1,Kaggle_GymMembers
6174,76,M,52.8,1.752,17.2,1,21.2,158,129,81,2.15,901,hiit,0.68,5,1,weight loss,Moderate,3185,7.4,10,0,Kaggle_FitnessMetrics
6175,56,F,82.0,1.684,28.92,3,33.8,144,131,69,1.17,775,,3.29,3,3,Build Muscle,sedentary,4065,6.9,5,1,Kaggle_GymMembers
6176,53,female,52.6,1.794,16.34,1,36.3,191,121,98,1.04,,Strength,3.24,6,3,Maintenance,sedentary,3073,8.7,10,0,Kaggle_BMIDataset
6177,29,FEMALE,60.7,1.551,25.23,3,54.6,198,137,42,1.64,1347,HIIT,3.04,7,3,maintenance,Active,1224,6.8,9,1,Kaggle_GymMembers
6178,25,male,64.1,1.798,19.83,2,13.5,153,167,60,2.56,893,Cardio,0.85,7,1,bulking,Very Active,3290,6.5,7,0,Kaggle_BMIDataset
6179,15,male,67.3,168.6,23.68,2,,156,142,98,1.39,438,Cardio,1.31,,3,muscle gain,Moderate,2396,7.4,4,0,Kaggle_GymMembers
6180,46,FEMALE,53.5,1.608,20.69,2,35.6,171,117,48,1.62,1166,HIIT,1.78,5,,muscle gain,Sedentary,3315,7.1,9,0,Kaggle_BMIDataset
6181,74,female,69.5,1.638,25.9,3,37.1,146,121,60,2.24,882,yoga,0.61,,3,Maintenance,Moderate,1307,6.7,8,0,Kaggle_BMIDataset
6182,61,FEMALE,34.3,1.6,13.4,0,8.4,148,106,47,1.79,1238,,1.07,1,1,cutting,Moderate,2313,9.5,9,0,Kaggle_BMIDataset
6183,25,F,43.3,1.691,15.14,0,21.5,170,141,52,0.49,1171,strength,3.86,7,1,Lose Weight,lightly active,2914,11.1,5,0,Kaggle_GymMembers
6184,64,Female,52.5,,,,28.3,174,150,48,0.77,1290,N/A,3.29,5,,Build Muscle,,,8.0,6,0,Kaggle_FitnessMetrics
6185,28,MALE,82.3,1.786,25.8,3,24.6,153,111,86,2.47,451,Strength,3.61,1,2,Build Muscle,Sedentary,1482,6.5,6,0,Kaggle_FitnessMetrics
6186,45,Male,101.1,1.683,35.69,4,41.2,169,146,41,0.45,1440,,2.79,1,,Weight Loss,Moderate,3459,7.0,9,0,Kaggle_FitnessMetrics
6187,19,M,52.2,1.588,20.7,2,22.4,155,154,76,1.43,316,N/A,0.79,,1,weight loss,Active,4360,7.0,9,0,Kaggle_GymMembers
6188,17,M,86.3,1.69,30.22,4,48.8,177,166,82,1.71,753,Strength,3.57,7,1,,Light,1407,6.1,9,0,Kaggle_FitnessMetrics
6189,69,MALE,91.5,1.711,31.26,4,35.9,152,117,70,0.29,1202,Yoga,3.33,6,2,Maintenance,sedentary,4038,7.8,7,0,Kaggle_GymMembers
6190,76,F,64.9,1.593,25.57,3,43.8,182,172,63,1.57,574,,3.87,3,3,Weight Loss,Active,2886,6.2,1,0,Kaggle_FitnessMetrics
6191,70,MALE,64.6,1.75,21.09,2,8.8,183,124,99,2.2,1303,N/A,3.71,7,1,,Moderate,2959,5.7,5,0,Kaggle_BMIDataset
6192,52,male,79.0,1.839,23.36,2,23.9,177,124,46,2.69,612,hiit,3.36,2,3,Maintenance,lightly active,827,6.0,6,0,Kaggle_BMIDataset
6193,60,Male,86.9,1.817,26.32,3,18.5,177,171,95,1.43,506,Strength,3.12,,2,Weight Loss,Sedentary,2890,6.5,5,1,Kaggle_BMIDataset
6194,72,F,72.5,1.672,25.93,3,13.5,170,115,89,2.18,386,strength,0.91,1,1,Maintenance,Moderate,4262,8.2,9,0,Kaggle_FitnessMetrics
6195,38,male,80.5,1.754,26.17,3,39.0,188,145,73,1.04,842,strength,3.09,2,3,Build Muscle,sedentary,3585,7.6,10,0,Kaggle_GymMembers
6196,46,F,71.2,1.681,25.2,3,54.0,197,137,82,1.31,816,Cardio,2.36,6,2,cutting,Active,,5.5,2,0,Kaggle_FitnessMetrics
6197,16,FEMALE,66.8,1.634,25.02,3,6.4,142,112,79,1.93,153,strength,2.33,,3,Build Muscle,lightly active,1389,6.2,10,0,Kaggle_GymMembers
6198,42,Male,66.0,1.529,28.23,3,53.1,196,164,49,2.48,858,N/A,3.59,,3,cutting,Sedentary,2088,5.7,7,0,Kaggle_GymMembers
6199,72,male,82.9,1.58,33.21,4,42.9,184,150,74,2.24,266,Cardio,1.2,5,,muscle gain,sedentary,3710,7.2,1,0,Kaggle_GymMembers
6200,69,Female,76.4,1.647,28.16,3,13.4,192,158,63,1.67,670,Cardio,3.07,5,1,Muscle Gain,Moderate,3054,6.6,10,0,Kaggle_GymMembers
6201,23,Female,70.4,1.558,29.0,3,31.9,154,158,64,0.39,796,Strength,0.61,1,1,muscle gain,,3103,8.2,3,0,Kaggle_FitnessMetrics
6202,22,F,62.8,1.702,21.68,2,8.7,157,161,92,2.43,735,Cardio,1.48,2,3,maintenance,lightly active,3581,5.5,7,0,Kaggle_BMIDataset
6203,16,Female,60.8,1.655,22.2,2,6.7,149,146,41,1.5,1333,HIIT,0.74,,,maintenance,Active,1372,7.1,10,0,Kaggle_GymMembers
6204,56,MALE,47.9,1.653,17.53,1,52.8,152,151,84,0.31,724,Strength,1.03,,3,cutting,Active,974,4.9,10,0,Kaggle_BMIDataset
6205,79,female,169.535278,1.676,60.35,5,5.5,172,128,59,0.85,778,Cardio,2.21,2,3,Lose Weight,Moderate,859,7.7,7,0,Kaggle_FitnessMetrics
6206,54,F,,1.571,,,35.1,189,174,60,2.94,164,strength,3.46,1,3,Maintenance,,1310,4.4,4,0,Kaggle_GymMembers
6207,76,MALE,49.1,1.633,18.41,1,11.6,192,138,49,1.45,1002,Cardio,0.6,1,2,Maintenance,Active,2650,6.7,4,0,Kaggle_FitnessMetrics
6208,45,male,46.3,1.77,14.78,0,28.6,200,157,96,0.59,,Strength,3.23,7,1,weight loss,Active,4050,5.6,10,0,Kaggle_BMIDataset
6209,34,F,77.4,1.646,28.57,3,14.1,158,112,78,1.65,1463,strength,1.02,1,3,Build Muscle,,2907,5.6,3,0,Kaggle_GymMembers
6210,58,FEMALE,35.6,1.569,14.46,0,44.0,170,135,86,1.95,376,Yoga,1.31,7,,Maintenance,Moderate,2418,7.5,3,0,Kaggle_FitnessMetrics
6211,33,MALE,80.8,1.672,28.9,3,25.1,186,156,65,2.28,1108,,1.76,5,3,Weight Loss,Very Active,2424,8.2,7,0,Kaggle_GymMembers
6212,68,M,66.6,1.78,21.02,2,7.8,171,129,67,1.66,951,Yoga,2.54,1,3,Build Muscle,Sedentary,4142,6.2,3,0,Kaggle_BMIDataset
6213,36,MALE,63.1,1.669,22.65,2,53.7,189,153,72,2.47,,strength,1.58,6,2,bulking,Moderate,887,5.8,,0,Kaggle_FitnessMetrics
6214,32,M,52.7,1.806,16.16,1,39.1,154,167,95,1.77,1221,Strength,1.57,,,Weight Loss,,2530,4.9,9,0,Kaggle_BMIDataset
6215,17,Male,56.2,1.741,18.54,2,39.6,194,103,73,2.69,550,yoga,0.5,3,1,maintenance,Very Active,1958,5.2,9,0,Kaggle_GymMembers
6216,49,female,50.6,1.607,19.59,2,6.1,176,175,70,2.34,909,Cardio,1.28,2,,,Active,2639,6.7,4,0,Kaggle_GymMembers
6217,32,F,67.5,1.569,27.42,3,24.5,190,113,52,0.52,1125,Cardio,2.12,1,1,Stay Fit,Light,3112,9.3,1,0,Kaggle_GymMembers
6218,64,MALE,85.4,1.705,29.38,3,50.3,156,139,71,1.46,1308,Cardio,0.68,,1,muscle gain,,2408,7.5,7,0,Kaggle_GymMembers
6219,13,MALE,93.0,1.727,31.18,4,48.8,175,157,62,0.25,250,hiit,1.04,7,,Maintenance,lightly active,2209,9.0,4,0,Kaggle_GymMembers
6220,80,female,55.5,1.587,22.04,2,45.4,144,159,65,0.54,1196,Cardio,1.13,,2,weight loss,Very Active,3143,7.0,3,0,Kaggle_GymMembers
6221,57,male,67.5,1.68,23.92,2,,187,160,56,1.83,1108,Strength,1.12,7,3,weight loss,lightly active,3664,,8,0,Kaggle_BMIDataset
6222,70,male,87.7,1.82,26.48,3,35.0,146,174,88,1.19,340,strength,1.87,,1,Lose Weight,Moderate,941,8.7,9,0,Kaggle_GymMembers
6223,37,male,86.5,1.757,28.02,3,42.7,158,139,57,1.38,359,strength,1.16,3,,Maintenance,Active,3653,7.2,3,0,Kaggle_BMIDataset
6224,64,male,84.2,1.559,34.64,4,16.2,161,102,76,0.75,744,yoga,2.02,6,2,,sedentary,1414,7.7,8,0,Kaggle_BMIDataset
6225,64,FEMALE,59.1,1.525,25.41,3,54.1,175,151,61,2.82,814,Strength,2.78,,,Weight Loss,lightly active,2924,4.9,,0,Kaggle_BMIDataset
6226,33,male,35.1,187.3,10.01,0,49.6,194,100,45,1.84,407,Strength,2.4,3,,Lose Weight,Light,2954,8.3,,0,Kaggle_BMIDataset
6227,28,female,31.1,1.636,11.62,0,6.2,179,119,99,1.93,261,,1.6,2,,Muscle Gain,lightly active,2530,3.5,1,0,Kaggle_BMIDataset
6228,69,male,120.7,1.754,39.23,4,28.7,140,130,58,2.61,544,strength,3.52,3,2,maintenance,Sedentary,3205,6.7,8,0,Kaggle_GymMembers
6229,66,male,39.6,1.663,14.32,0,46.6,170,137,80,2.81,729,Strength,0.91,1,1,Stay Fit,Sedentary,2534,6.3,5,0,Kaggle_BMIDataset
6230,70,male,79.8,1.728,26.72,3,41.1,149,155,68,0.87,289,HIIT,0.58,5,,Lose Weight,Light,2856,4.0,5,0,Kaggle_BMIDataset
6231,74,Male,99.3,1.84,29.33,3,13.3,179,129,77,1.83,820,Cardio,1.87,6,3,Build Muscle,Moderate,1300,8.5,5,0,Kaggle_BMIDataset
6232,53,Male,73.1,1.688,25.66,3,30.3,164,102,55,2.48,1019,Yoga,1.01,2,2,Stay Fit,Very Active,1416,,4,0,Kaggle_BMIDataset
6233,76,male,88.6,1.73,29.6,3,14.4,164,130,85,1.32,1200,strength,3.61,2,2,Lose Weight,,3101,7.7,7,0,Kaggle_GymMembers
6234,65,female,37.1,1.616,14.21,0,20.5,151,124,86,1.09,491,,3.11,1,,cutting,lightly active,3874,5.6,6,0,Kaggle_BMIDataset
6235,67,Male,82.2,1.595,32.31,4,8.7,181,105,81,2.17,231,Yoga,3.14,3,,Build Muscle,Light,940,,7,0,Kaggle_FitnessMetrics
6236,37,M,31.8,1.651,11.67,0,,192,157,40,1.81,,,0.55,3,1,bulking,Light,2649,7.0,8,0,Kaggle_FitnessMetrics
6237,19,male,76.1,1.756,24.68,2,54.5,165,165,52,0.46,657,hiit,1.96,2,,muscle gain,,3921,4.8,2,0,Kaggle_GymMembers
6238,18,male,81.6,1.605,31.68,4,43.8,177,153,79,1.03,599,Strength,3.1,2,1,cutting,sedentary,3218,9.4,1,0,Kaggle_FitnessMetrics
6239,33,male,89.5,1.699,31.01,4,54.3,160,141,50,2.21,368,Strength,3.22,2,,cutting,Moderate,1688,4.8,7,0,Kaggle_FitnessMetrics
6240,39,F,55.2,1.565,22.54,2,17.6,160,123,78,1.6,466,N/A,2.59,4,1,Stay Fit,Sedentary,3706,6.8,8,1,Kaggle_BMIDataset
6241,59,M,61.5,1.752,20.04,2,41.4,184,160,93,2.12,917,hiit,3.89,,2,bulking,Light,879,7.4,10,0,Kaggle_GymMembers
6242,78,Female,78.4,1.569,31.85,4,,158,121,88,0.83,146,N/A,3.98,4,3,Muscle Gain,Sedentary,3573,,,0,Kaggle_FitnessMetrics
6243,69,FEMALE,65.4,1.603,25.45,3,35.8,159,141,85,1.43,326,cardio,2.03,4,3,Weight Loss,,4289,7.0,4,0,Kaggle_GymMembers
6244,28,Female,34.2,1.574,13.8,0,15.6,174,120,84,1.56,1400,Strength,3.68,2,1,Stay Fit,lightly active,4019,9.6,3,0,Kaggle_FitnessMetrics
6245,44,Male,73.3,1.808,22.42,2,48.1,149,101,61,1.19,732,strength,1.92,,2,bulking,Sedentary,3749,7.0,7,0,Kaggle_FitnessMetrics
6246,37,M,65.7,1.663,23.76,2,36.7,161,160,77,0.41,584,Cardio,1.58,5,,Muscle Gain,Active,2011,8.7,10,0,Kaggle_BMIDataset
6247,37,F,49.4,1.61,19.06,2,11.0,167,129,72,1.15,707,,3.75,1,,Weight Loss,Very Active,2091,8.0,4,0,Kaggle_FitnessMetrics
6248,58,male,97.7,1.805,29.99,3,47.6,173,108,61,2.83,1030,Strength,2.59,4,,Weight Loss,Very Active,1563,6.1,3,1,Kaggle_FitnessMetrics
6249,78,MALE,62.0,1.642,23.0,2,36.9,186,107,89,1.39,1295,HIIT,1.63,5,,Stay Fit,Moderate,,7.1,9,0,Kaggle_FitnessMetrics
6250,41,Male,78.4,1.809,23.96,2,17.9,175,103,85,0.94,100,HIIT,1.13,5,,Muscle Gain,Very Active,,8.1,10,0,Kaggle_BMIDataset
6251,36,M,73.7,1.872,21.03,2,49.4,175,136,56,0.44,646,Yoga,3.09,7,,Build Muscle,sedentary,3060,8.9,3,0,Kaggle_GymMembers
6252,56,MALE,77.0,1.699,26.67,3,29.3,172,148,40,2.23,536,Yoga,1.66,3,2,maintenance,,,7.1,9,0,Kaggle_GymMembers
6253,38,FEMALE,73.4,1.537,31.07,4,11.6,157,128,91,1.31,1113,,1.03,4,1,maintenance,,2106,3.8,7,0,Kaggle_FitnessMetrics
6254,34,female,61.8,1.589,24.48,2,33.8,188,169,74,1.01,1055,strength,2.21,,2,Muscle Gain,Moderate,4059,7.2,8,0,Kaggle_GymMembers
6255,44,female,54.0,1.603,21.01,2,17.9,156,110,47,1.03,362,Cardio,1.62,1,1,Stay Fit,lightly active,2133,9.2,4,0,Kaggle_FitnessMetrics
6256,28,Male,65.4,180.7,20.03,2,29.0,144,130,57,0.25,615,strength,1.9,4,2,Weight Loss,,2655,6.4,,1,Kaggle_BMIDataset
6257,22,F,66.3,1.636,24.77,2,44.8,169,136,58,2.5,1057,Strength,2.8,6,2,Build Muscle,Active,1111,8.1,10,0,Kaggle_GymMembers
6258,75,male,56.5,1.85,16.51,1,47.8,171,156,60,0.65,321,N/A,3.91,1,1,maintenance,Moderate,3748,,1,0,Kaggle_GymMembers
6259,37,Male,92.9,1.71,31.77,4,11.9,145,,78,2.63,396,Cardio,2.77,3,2,Build Muscle,Moderate,,6.7,9,0,Kaggle_BMIDataset
6260,47,female,67.4,1.625,25.52,3,19.0,145,175,66,2.58,1402,HIIT,2.53,3,1,,Moderate,806,6.2,7,0,Kaggle_GymMembers
6261,50,Male,88.4,1.858,25.61,3,20.9,186,129,77,0.49,946,Yoga,0.54,2,1,Lose Weight,Light,2744,9.9,2,0,Kaggle_GymMembers
6262,47,Female,44.0,1.588,17.45,1,,191,129,65,0.88,969,Cardio,1.3,2,1,cutting,Very Active,2612,5.9,2,0,Kaggle_FitnessMetrics
6263,40,M,66.5,1.731,22.19,2,35.4,177,164,78,1.44,443,Strength,3.85,7,2,Build Muscle,Moderate,4400,7.3,10,0,Kaggle_FitnessMetrics
6264,43,M,60.9,1.75,19.89,2,52.6,191,167,65,1.98,487,hiit,0.84,2,2,muscle gain,Light,4432,,8,0,Kaggle_FitnessMetrics
6265,19,M,81.0,1.762,26.09,3,41.8,170,145,47,1.53,1437,Strength,3.76,4,,cutting,lightly active,3885,11.1,,0,Kaggle_GymMembers
6266,74,female,55.7,1.628,21.02,2,53.2,184,114,95,0.72,,yoga,2.14,7,,cutting,Active,3196,8.5,9,0,Kaggle_BMIDataset
6267,33,male,196.21117999999998,1.756,63.63,5,21.5,179,103,71,1.64,193,HIIT,2.44,4,,Build Muscle,Sedentary,3343,7.1,9,0,Kaggle_BMIDataset
6268,19,Female,79.4,1.579,31.85,4,36.7,176,101,92,2.08,746,cardio,0.7,3,,muscle gain,Moderate,4234,8.8,5,0,Kaggle_FitnessMetrics
6269,26,M,88.3,1.735,29.33,3,15.0,190,158,70,1.24,1366,hiit,2.98,7,1,bulking,Sedentary,3950,4.9,8,0,Kaggle_GymMembers
6270,70,F,68.0,1.595,26.73,3,22.5,185,173,88,1.15,389,yoga,0.57,1,2,muscle gain,Active,2436,6.5,2,0,Kaggle_FitnessMetrics
6271,56,male,70.3,1.617,26.89,3,33.4,156,127,52,1.24,266,N/A,0.51,1,,Lose Weight,sedentary,2559,7.3,6,0,Kaggle_GymMembers
6272,73,male,50.9,1.596,19.98,2,25.9,152,133,93,2.67,1098,Yoga,3.1,3,1,muscle gain,Light,1470,6.0,8,0,Kaggle_GymMembers
6273,40,Female,85.4,1.63,32.14,4,10.8,160,104,97,1.53,201,Cardio,1.12,7,,bulking,Light,2240,4.9,8,0,Kaggle_BMIDataset
6274,24,MALE,79.5,1.72,26.87,3,50.5,168,144,75,0.42,615,Yoga,3.33,3,1,weight loss,Moderate,2138,5.9,1,0,Kaggle_GymMembers
6275,33,male,68.8,1.674,24.55,2,17.4,199,121,82,1.73,1189,Cardio,3.64,2,1,maintenance,lightly active,1088,5.7,7,0,Kaggle_FitnessMetrics
6276,51,Male,89.8,1.731,29.97,3,54.0,178,105,49,2.43,707,Strength,1.61,1,3,muscle gain,Very Active,4363,5.1,3,0,Kaggle_FitnessMetrics
6277,27,MALE,86.3,1.845,25.35,3,,149,126,69,0.61,1353,HIIT,3.32,4,1,muscle gain,lightly active,1467,4.6,5,0,Kaggle_BMIDataset
6278,28,M,79.9,1.654,29.21,3,43.2,198,126,78,0.37,1384,Strength,0.83,3,3,muscle gain,Moderate,3941,8.6,9,0,Kaggle_FitnessMetrics
6279,55,M,112.5,1.808,34.42,4,54.6,174,162,73,1.31,1287,N/A,2.11,1,1,bulking,Active,3560,6.7,4,0,Kaggle_GymMembers
6280,57,F,58.4,1.529,24.98,2,42.1,176,124,45,2.07,138,Yoga,1.27,,2,Build Muscle,sedentary,2968,6.9,3,0,Kaggle_BMIDataset
6281,20,female,38.5,1.633,14.44,0,8.0,192,161,95,1.31,108,HIIT,1.41,4,1,Muscle Gain,lightly active,1613,8.7,5,0,Kaggle_BMIDataset
6282,73,male,55.6,1.632,20.88,2,8.0,173,114,79,1.51,1040,N/A,3.22,7,,Muscle Gain,,3000,5.0,9,0,Kaggle_FitnessMetrics
6283,44,F,75.9,1.514,33.11,4,13.5,175,109,95,0.83,1463,cardio,2.63,2,1,bulking,Light,919,6.4,6,0,Kaggle_GymMembers
6284,65,MALE,57.4,1.828,17.18,1,44.9,,163,70,0.85,1182,N/A,2.01,7,2,Maintenance,Sedentary,2918,8.3,10,0,Kaggle_FitnessMetrics
6285,66,female,56.8,1.516,24.71,2,53.1,165,121,62,0.95,1221,Cardio,1.23,2,,Lose Weight,lightly active,3283,5.8,9,0,Kaggle_GymMembers
6286,70,F,70.8,1.554,29.32,3,7.4,190,157,44,0.33,272,Yoga,3.52,6,,,lightly active,3697,7.8,5,0,Kaggle_FitnessMetrics
6287,17,Male,52.0,1.701,17.97,1,39.6,182,111,64,0.3,646,N/A,2.6,3,3,cutting,Very Active,3066,5.8,2,0,Kaggle_GymMembers
6288,57,MALE,98.8,1.649,36.33,4,13.3,170,168,98,1.36,853,yoga,1.19,1,1,Build Muscle,lightly active,3710,7.7,7,0,Kaggle_GymMembers
6289,41,F,57.1,1.599,22.33,2,54.9,151,147,91,0.29,440,strength,0.63,4,,Maintenance,Active,2688,7.2,3,0,Kaggle_FitnessMetrics
6290,31,male,70.6,1.858,20.45,2,29.6,143,160,49,1.78,1061,hiit,1.16,3,3,muscle gain,Moderate,2307,6.1,5,0,Kaggle_FitnessMetrics
6291,70,M,104.4,1.723,35.17,4,44.0,151,125,99,0.37,1229,Strength,2.86,1,,Muscle Gain,Sedentary,3395,7.5,8,0,Kaggle_GymMembers
6292,72,female,48.9,1.648,18.01,1,46.5,152,129,81,2.81,1130,Strength,0.62,3,3,cutting,lightly active,926,5.4,3,0,Kaggle_GymMembers
6293,39,Male,88.9,1.866,25.53,3,48.1,175,108,47,2.47,1487,strength,1.06,1,,muscle gain,lightly active,3299,,,0,Kaggle_GymMembers
6294,16,female,69.3,1.569,28.15,3,39.8,200,155,93,2.6,514,Strength,3.02,,3,weight loss,Light,2814,7.9,8,1,Kaggle_BMIDataset
6295,49,Female,64.7,1.619,24.68,2,6.9,170,167,71,0.61,253,Cardio,0.82,1,1,cutting,Sedentary,2599,4.4,4,1,Kaggle_GymMembers
6296,75,Female,42.1,1.671,15.08,0,45.5,172,156,88,2.77,1277,Strength,2.49,4,3,Lose Weight,Very Active,2205,3.5,5,0,Kaggle_GymMembers
6297,31,female,68.5,1.629,25.81,3,52.4,169,107,98,0.75,189,Strength,3.27,4,1,bulking,Very Active,,6.3,4,0,Kaggle_BMIDataset
6298,37,Male,89.4,1.675,31.86,4,46.3,160,154,77,1.74,187,Strength,1.6,5,2,Stay Fit,Sedentary,4215,6.9,2,0,Kaggle_BMIDataset
